SOFTWARECOMPONENT	SWCOMPDESC	APPLICATIONCOMPONENT	APCOMPDESC	CHECKID	CATEGORY	MESSAGE	MSGTYPE	RETURNCODE	MSGIDENTIFIER	SEVERITY	COMPLEXITY	PROCAREA	PROCAREAL2	EFFORT	EFFORTFUNC	EFFORTTECH	NOTE	MIGRPOSSIBLE	MIGRIMPACT
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100066 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100067 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100070 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100075 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100076 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100084 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100086 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100087 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100088 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100096 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100097 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100098 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	SD	Master data	4	2	2	2210486	Yes	Conflict with work around
