PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	MSGTYP	COMPLEXITY	REMEDIATE	PERFFLG	SCFILE	UNICODEERR	DEFTYPE	REFOBJTYP	CATEGORY	CHECK_DEFECT
R3TR	PROG	Programs	INCL	Includes	ZMM_MATERIAL_MASTER_EXT_TOP	Include ZMM_MATERIAL_MASTER_EXT_TOP			Z001	SAP ECC 6.0	ZMM_MATERIAL_MASTER_EXTENSION	ZMM_MATERIAL_MASTER_EXT_TOP	   38	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_BACKLOG_REPORT_TOP	Include ZMM_BACKLOG_REPORT_TOP			Z001	SAP ECC 6.0	ZMM_BACKLOG_REPORT	ZMM_BACKLOG_REPORT_TOP	   38	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_MATERIAL_UPDATE_TOP	Include ZMM_MATERIAL_UPDATE_TOP			Z001	SAP ECC 6.0	ZMM_MATERIAL_UPDATE	ZMM_MATERIAL_UPDATE_TOP	   38	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZFI_INVENTORY_TOP	Include ZFI_INVENTORY_TOP			Z001	SAP ECC 6.0	ZFI_INVENTORY_REPORT	ZFI_INVENTORY_TOP	   39	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_PIR_UPDATE_TOP	Include ZSD_PIR_UPDATE_TOP			Z001	SAP ECC 6.0	ZSD_PIR_UPDATE	ZSD_PIR_UPDATE_TOP	   41	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZFI_BILLING_DOC_TOP	Include ZFI_BILLING_DOC_TOP			Z001	SAP ECC 6.0	ZFI_BILLING_DOC_REPORT	ZFI_BILLING_DOC_TOP	   42	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_PIR_UPDATE_TOP	Include ZSD_PIR_UPDATE_TOP			Z001	SAP ECC 6.0	ZSD_PIR_UPDATE	ZSD_PIR_UPDATE_TOP	   43	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_FORECAST_REPORT_TOP	Include ZSD_FORECAST_REPORT_TOP			Z001	SAP ECC 6.0	ZSD_FORECAST_REPORT	ZSD_FORECAST_REPORT_TOP	   43	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_BACKLOG_NEW_FRM	Include ZMM_FIORI_BACKLOG_FRM			Z001	SAP ECC 6.0	ZMM_BACKLOG_REPORT_NEW	ZMM_BACKLOG_NEW_FRM	   43	Syntax or Keyword MODIFY is Obsolete	E	2		X			O		2	MODIFY SCREEN
R3TR	PROG	Programs	INCL	Includes	ZMM_FIORI_BACKLOG_FRM	Include ZMM_FIORI_BACKLOG_FRM			Z001	SAP ECC 6.0	ZMM_FIORI_BACKLOG_REPORT	ZMM_FIORI_BACKLOG_FRM	   43	Syntax or Keyword MODIFY is Obsolete	E	2		X			O		2	MODIFY SCREEN
R3TR	PROG	Programs	INCL	Includes	ZSD_PROCESSES_TOP	Include ZSD_PROCESSES_TOP			ZUPD_SD	SAP ECC 6.0			   44	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_MISSING_PRICE_TOP	Include ZSD_MISSING_PRICE_TOP			Z001	SAP ECC 6.0	ZSD_MISSING_PRICE	ZSD_MISSING_PRICE_TOP	   44	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_FIORI_BACKLOG_TOP	Include ZMM_FIORI_BACKLOG_TOP			Z001	SAP ECC 6.0	ZMM_FIORI_BACKLOG_REPORT	ZMM_FIORI_BACKLOG_TOP	   45	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_IF_LIOS_TOP	Include ZSD_IF_LIOS_TOP			Z001	SAP ECC 6.0	ZSD_IF_LIOS	ZSD_IF_LIOS_TOP	   45	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_MAT_ENHANCEMENT_TOP	Include ZMM_MAT_ENHANCEMENT_TOP			Z001	SAP ECC 6.0	ZMM_MAT_ENHANCEMENT	ZMM_MAT_ENHANCEMENT_TOP	   45	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_WATERFALL_DATA_TOP	Include ZSD_WATERFALL_DATA_TOP			Z001	SAP ECC 6.0	ZSD_WATERFALL_DATA	ZSD_WATERFALL_DATA_TOP	   46	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_KANBAN_MASTER_DATA_GET_TOP	Include ZSD_KANBAN_MASTER_DATA_GET_TOP			Z001	SAP ECC 6.0			   46	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_KANBAN_QUERY_TOP	Include ZMM_KANBAN_QUERY_TOP			Z001	SAP ECC 6.0	ZMM_KANBAN_QUERY	ZMM_KANBAN_QUERY_TOP	   46	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZFI_COE_REPORT_DYNAMIC_FOR_UPD	Include ZFI_COE_REPORT_DYNAMIC_FORM			ZUPD_DEL_FI	SAP ECC 6.0			   46	Syntax or Keyword MODIFY is Obsolete	E	2		X			O		2	MODIFY SCREEN
R3TR	PROG	Programs	INCL	Includes	ZMM_MATERIAL_UPDATE_TOP	Include ZMM_MATERIAL_UPDATE_TOP			Z001	SAP ECC 6.0	ZMM_MATERIAL_UPDATE	ZMM_MATERIAL_UPDATE_TOP	   47	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_PIR_UPDATE_TOP	Include ZSD_PIR_UPDATE_TOP			Z001	SAP ECC 6.0	ZSD_PIR_UPDATE	ZSD_PIR_UPDATE_TOP	   47	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	LZMM_BACKLOG_NEWTOP				Z001	SAP ECC 6.0	SAPLZMM_BACKLOG_NEW		   48	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_FORECAST_STATUS_TOP	Include ZSD_FORECAST_STATUS_TOP			Z001	SAP ECC 6.0	ZSD_FORECAST_STATUS	ZSD_FORECAST_STATUS_TOP	   48	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZFI_INVENTORY_REPORT_EINV_TOP	Include ZFI_INVENTORY_TOP			Z001	SAP ECC 6.0	ZFI_INVENTORY_REPORT_EINV	ZFI_INVENTORY_REPORT_EINV_TOP	   49	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZFI_COE_REPORT_DYNAMIC_FOR_UPD	Include ZFI_COE_REPORT_DYNAMIC_FORM			ZUPD_DEL_FI	SAP ECC 6.0			   49	Syntax or Keyword MODIFY is Obsolete	E	2		X			O		2	MODIFY SCREEN
R3TR	PROG	Programs	INCL	Includes	ZFI_BILLING_DOC_TOP	Include ZFI_BILLING_DOC_TOP			Z001	SAP ECC 6.0	ZFI_BILLING_DOC_REPORT	ZFI_BILLING_DOC_TOP	   50	DZAEHK-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	DZAEHK
R3TR	PROG	Programs	INCL	Includes	ZMM_MATERIAL_MASTER_EXT_TOP	Include ZMM_MATERIAL_MASTER_EXT_TOP			Z001	SAP ECC 6.0	ZMM_MATERIAL_MASTER_EXTENSION	ZMM_MATERIAL_MASTER_EXT_TOP	   50	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	LZSD_FG_HEIJUNKATOP				Z001	SAP ECC 6.0	SAPLZSD_FG_HEIJUNKA		   50	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_FORECAST_STATUS_F01	Include ZSD_FORECAST_STATUS_F01			Z001	SAP ECC 6.0	ZSD_FORECAST_STATUS	ZSD_FORECAST_STATUS_F01	   50	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_MATERIAL_UPDATE_TOP	Include ZMM_MATERIAL_UPDATE_TOP			Z001	SAP ECC 6.0	ZMM_MATERIAL_UPDATE	ZMM_MATERIAL_UPDATE_TOP	   51	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_ROR_TOP	Include ZSD_ROR_TOP			Z001	SAP ECC 6.0	ZSD_ROR	ZSD_ROR_TOP	   52	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_PIR_UPDATE_TOP	Include ZSD_PIR_UPDATE_TOP			Z001	SAP ECC 6.0	ZSD_PIR_UPDATE	ZSD_PIR_UPDATE_TOP	   52	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_PLAN_VS_ACTUAL_TOP	Include ZMM_PLAN_VS_ACTUAL_TOP			Z001	SAP ECC 6.0	ZMM_PLAN_VS_ACTUAL	ZMM_PLAN_VS_ACTUAL_TOP	   52	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_PR00_UPLOAD_TOP	Include ZSD_PR00_UPLOAD_TOP			Z001	SAP ECC 6.0	ZSD_PR00_UPLOAD	ZSD_PR00_UPLOAD_TOP	   52	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_MISSING_PRICE_TOP	Include ZSD_MISSING_PRICE_TOP			Z001	SAP ECC 6.0	ZSD_MISSING_PRICE	ZSD_MISSING_PRICE_TOP	   53	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_FORECAST_TOP	Include ZSD_FORECAST_TOP			Z001	SAP ECC 6.0	ZSD_FORECAST	ZSD_FORECAST_TOP	   53	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_ZSOPOQUERY_TOP	Include ZSD_ZSOPOQUERY_TOP			Z001	SAP ECC 6.0	ZSOPOQUERY	ZSD_ZSOPOQUERY_TOP	   53	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_SOLAS_REPORT_TOP	Include ZSD_SOLAS_REPORT_TOP			Z001	SAP ECC 6.0	ZSD_SOLAS_REPORT	ZSD_SOLAS_REPORT_TOP	   56	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_PIR_UPDATE_TOP	Include ZSD_PIR_UPDATE_TOP			Z001	SAP ECC 6.0	ZSD_PIR_UPDATE	ZSD_PIR_UPDATE_TOP	   56	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_HEIJUNKA_TOP	Include Z_SD_HEIJUNKA_TOP - Data Declaration			Z001	SAP ECC 6.0	ZSD_HEIJUNKA	ZSD_HEIJUNKA_TOP	   56	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZRFFORI00	International Payment Medium Include: Declaration Part			Z001	SAP ECC 6.0	ZRFFOUS_C	ZRFFORI00	   56	Table/Stucture T012K is either not active or does not exist-SPECIFIC TO S4H	E	4		X			O		1	T012K
R3TR	PROG	Programs	INCL	Includes	ZSD_FORECAST_STATUS_TOP	Include ZSD_FORECAST_STATUS_TOP			Z001	SAP ECC 6.0	ZSD_FORECAST_STATUS	ZSD_FORECAST_STATUS_TOP	   57	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_NEW_BACKLOG_REPORT_FORM	Include ZMM_NEW_BACKLOG_REPORT_FORM			Z001	SAP ECC 6.0	ZMM_NEW_BACKLOG_REPORT	ZMM_NEW_BACKLOG_REPORT_FORM	   57	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_MATERIAL_MASTER_EXT_TOP	Include ZMM_MATERIAL_MASTER_EXT_TOP			Z001	SAP ECC 6.0	ZMM_MATERIAL_MASTER_EXTENSION	ZMM_MATERIAL_MASTER_EXT_TOP	   58	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
