SUBOBJ	SUBOBJDESC	INVOCNT	DEFOCNT	TERROCONT	TERRCNT	COMP1CNT	COMP2CNT	COMP3CNT	WARNINGS	ERRORS													
Program Type	Object Type	Object Description	Sub Object	Sub Obbject Description	Object Name	Object Text	Application	FRICE Type	Package	System Name	Main Program	Include Program	Line No	Error Message	Message Type	Complexity	Auto Remidiable	Performance Related	Score Code File	Unicode Error	Definition type	Reference Obj Type	Category	Check Defect
BPRO	BDC - Reports/BDC - Programs	0000000030	0000000030	0000000030	0000000813	0000000813	0000000813	0000000813	0000000180	0000000813													
BSUB	BDC - Subroutine pools	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
STRU	Structures	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
SMOD	SAP enhancements	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
AQXI	ABAP Query: Additional functions	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
ASFC	SAP AS: Field Catalog	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
ASIS	SAP AS: Archiving Information Structure	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
CHDO	Change Document Object	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
DIAL	Dialog Module	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
IDOC	Basic type	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
LDBA	Logical Database	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
MCID	Matchcode ID	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
MCOB	Matchcode Object	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
NROB	Number Range Objects	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
OSOA	DataSource (Active Version)	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
PARA	SPA/GPA Parameters	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
SCAT	Test case	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
SICF	ICF Service	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
SBOJ	Business object types	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
SOTS	All Concepts (OTR) of a Package	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
TS	Workflow - Standard task	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
TYPE	Type Group	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
WAPA	BSP (Business Server Pages) Application	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
WS	Workflow - Workflow template	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
XSLT	XSLT Program	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
QUER	ABAP Query: User group	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
CORE	Core Modifications	0	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000													
HMET	HANA -Method (ABAP Objects)	0000000000	0000000000	0000000014	0000000025	0000000000	0000000023	0000000002	0000000000	0000000000													
HINC	HANA -Includes	0000000000	0000000000	0000000149	0000001019	0000000000	0000000955	0000000064	0000000000	0000000000													
HPRO	HANA -Program	0000000000	0000000000	0000000430	0000001721	0000000000	0000001595	0000000126	0000000000	0000000000													
HPRI	HANA -Print Programs	0000000000	0000000000	0000000005	0000000043	0000000000	0000000041	0000000002	0000000000	0000000000													
HSUB	HANA -Subroutine Pool	0000000000	0000000000	0000000002	0000000042	0000000000	0000000042	0000000000	0000000000	0000000000													
HMOD	HANA -Module Pool	0000000000	0000000000	0000000002	0000000008	0000000000	0000000008	0000000000	0000000000	0000000000													
HFUN	HANA -Function Module	0000000000	0000000000	0000000011	0000000024	0000000000	0000000024	0000000000	0000000000	0000000000													
