PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	SEVERITY	COMPLEXITY	RULNAME	REFOBJTYP
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		22	"The current ABAP command is obsolete. Within classes and interfaces, you can only use ""TYPE"" to refer to ABAP Dictionary. types, not ""LIKE"" or ""STRUCTURE""..Internal Message Code: MESSAGE G/B"	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		23	Suspicious conversion between ABAP types 'C' and 'N'	4	2	TYPE CONVERSION ERROR	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		23	"The current ABAP command is obsolete. Within classes and interfaces, you can only use ""TYPE"" to refer to ABAP Dictionary. types, not ""LIKE"" or ""STRUCTURE""..Internal Message Code: MESSAGE G/B"	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		24	"The current ABAP command is obsolete. Within classes and interfaces, you can only use ""TYPE"" to refer to ABAP Dictionary. types, not ""LIKE"" or ""STRUCTURE""..Internal Message Code: MESSAGE G/B"	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		33	"The current ABAP command is obsolete. Within classes and interfaces, you can only use ""TYPE"" to refer to ABAP Dictionary. types, not ""LIKE"" or ""STRUCTURE""..Internal Message Code: MESSAGE G/B"	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		36	Avoid the use of DEFAULT	4	3	SELECTION SCREEN FIELDS INCONSISTENT	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		36	Avoid the use of OBLIGATORY	4	3	SELECTION SCREEN FIELDS INCONSISTENT	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		36	Selection text or parameter for selection field S_LANG is not maintained	3	3	SELECTION TEXT NOT MAINTAINED	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		37	Selection text or parameter for selection field T_LANG is not maintained	3	3	SELECTION TEXT NOT MAINTAINED	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		38	Selection text or parameter for selection field DIRECTRY is not maintained	3	3	SELECTION TEXT NOT MAINTAINED	PROG
