PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	MSGTYP	COMPLEXITY	REMEDIATE	PERFFLG	SCFILE	UNICODEERR	DEFTYPE	REFOBJTYP	CATEGORY
Program Type	Object Type	Object Description	Sub Object	Sub Obbject Description	Object Name	Object Text	Application	FRICE Type	Package	System Name	Main Program	Include Program	Line No	Error Message	Message Type	Complexity	Auto Remidiable	Performance Related	Score Code File	Unicode Error	Definition type	Reference Obj Type	Category	Check Defect
LIMU	FM	Function Module	FUNC	Function Module	Z_CLASS_VALUES_UPDATE	Insert/Modify Class values for an object within a Class			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_CLASS_FUNCTIONS	LZ_CLASS_FUNCTIONSU02	  203	AUSP-KLART-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  211	LFA1-NAME1-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  211	LFA1-SORTL-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  212	LFA1-LIFNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  236	KNA1-NAME1-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  236	KNA1-SORTL-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  237	KNA1-KUNNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  256	BSEG-HZUON-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  256	BSEG-KOART-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  256	BSEG-LIFNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  256	BSEG-XREF3-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  258	BSEG-BUKRS-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  259	BSEG-BELNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  260	BSEG-GJAHR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  261	BSEG-BUZEI-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
