PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	REFOBJTYP
R3TR	BDC	Programs	PROG	Program	ZFII_CUSTOMER_NA_CHANGE_BNK	NA- Customer Master Change - Bank-change			ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	BDC	Programs	PROG	Program	ZFII_CUSTOMER_NA_CHANGE	NA- Customer Master Change			ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	BDC	Programs	PROG	Program	ZFII_AR_AUTO_CASH	NA AR Auto Cash Application			ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	BDC	Programs	PROG	Program	ZFIC_VENDOR_WITH_HOLDING_FLAG	Brazil Vendor With holding tax			ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	BDC	Programs	PROG	Program	ZFIC_VENDOR_UPLOAD	Vendor Master Upload			ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	BDC	Programs	PROG	Program	ZFIC_LAWSON_VENDOR_UPLOAD	Lawson Vendor Upload			ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	BDC	Programs	PROG	Program	ZFIC_LAWSON_VENDOR_CHANGE	Lawson Vendor Change			ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	BDC	Programs	PROG	Program	ZFIAR_CASHAPP_F32	NA AR Cash app F-32 Clear Payment posting			ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	BDC	Programs	PROG	Program	ZFIAR_CASHAPP_F28	NA AR Cash app F-28 Incoming payment posting			ZFI	EHP6 FOR SAP ERP 6.0			
R3TR	BDC	Programs	PROG	Program	ZBC_TRANSPORT_TRACKING	TRANSPORT TRACKING	Basis		ZBC	EHP6 FOR SAP ERP 6.0			
R3TR	BDC	Programs	PROG	Program	ZBC_TRANSPORT_MONITOR	TRANSPORT MONITOR REPORT	Basis		ZBC	EHP6 FOR SAP ERP 6.0			
R3TR	BDC	Programs	PROG	Program	ZBC_TRANSPORT_HISTORY	TRANSPORT HISTORY	Basis		ZBC	EHP6 FOR SAP ERP 6.0			
