COMPONENT	COMPONENTDESC	COMPTYPE	RELEASE	BFUNCTION	BFUNCDESC	BFUNCCATEG	CURRSTAT	FUTURESTAT	BFCONFLICT	MSGTYPE	ADDONSTAT	ADDONCONFLICT	SUCCPRODUCT	SUCCSW
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	606	DFPS_LM_GEN	Maint, Support: Flight Operat.	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S		S		
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	606	DFPS_MDS_INTEGRATION	DFPS, Integration with SAP MDS	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S		S		
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	606	DFPS_MDS_INTEGRATION_2	DFPS, Integration with SAP MDS 2	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S		S		
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	606	DFPS_OF_DEPL_LOG	DFPS, Log. Operational Support	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S		S		
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	606	DFPS_OF_LOG	DFPS, Log. Oper. Support 3	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S		S		
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	606	DFPS_OF_OS	DFPS, Log. Operational Sup 2	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S		S		
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	606	DFPS_OF_PERS_EQUI	DFPS, Personal Equipment	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S		S		
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	606	DFPS_PM_DIS_SIG	DFPS, Distribution of Signatures	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S		S		
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	606	EA-DFP	DefenseForces&PublicSecurity	Enterprise Addons	OFF	CUS_SWITCH	Pass - No Impact	S		S		
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	/IBS/EAFS_RBD_BUSOPR	RBD - Business Operations	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	/IBS/EAFS_RBD_BUSOPR5	RBD - Business Operations 2	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	EA-FS	Financial Services	Enterprise Addons	ON	ON	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	EAFS_BCA_BUSOPR	Deposits – Business Operations	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	EAFS_BCA_BUSOPR_2	Deposits – Business Operations	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	EAFS_BCA_BUSOPR_3	Deposits – Business Operations	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	EAFS_CML_AUTH_REL	Auth,  Release & Maint. of bank	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	EAFS_CML_CL_EXT	Consumer Loan Extension	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	EAFS_CML_DEFCAP	CML: Deferral and Capitalization	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	EAFS_CML_FACILITIES	CML - Facilities	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	EAFS_CML_IOA	CML - Interest On Arrears	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	EAFS_CML_LOANS_POOLING	CML, Loan Data to Funding Mngmnt	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	EAFS_CML_PAH_NP	CML-Payt. App. Hier. & Neg. Post	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	FIN_INHOUSE_CASH_1	FIN IHC Enhancements	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	FIN_TRM_CCC	Central Counterparty Clearing	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	FIN_TRM_COMM_RM	TRM, FRM for Commodities	Enterprise BF / Enhancement Packages	OFF	OFF	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	FIN_TRM_COMM_RM_2	TRM,  FRM for Commodities 2	Enterprise BF / Enhancement Packages	OFF	OFF	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	FIN_TRM_CORR_FW	TRM, Correspondence Framework	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	FIN_TRM_CORR_FW_2	TRM, Correspondence Framework 2	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	FIN_TRM_INS_HM	TRM, P-Hedge Accounting	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	FIN_TRM_INS_HM_2	TRM, P-Hedge Accounting 2	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	FIN_TRM_INS_LOCBR	TRM, Treasury Localiz. Brazil	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	FIN_TRM_INS_LOCFR	TRM, Trans.Man. Localiz. France	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	FIN_TRM_LR_FI_AN	TRM: Hedge, Instr., Key Figures	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	FIN_TRM_LR_FI_AN_2	TRM, Hedge, Exposure, FI	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	FIN_TRM_LR_FI_AN_3	TRM, Instruments, Accounting	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	FIN_TRM_PSM_INTEGRATION	TM, Integration into Funds Mgmt	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-FINSERV	SAP Enterprise Extension Financial Services	Others	606	LOG_TRM_INT_1	Logistics Treasury Integration	Enterprise BF / Enhancement Packages	OFF	OFF	Pass - No Impact	S				
EA-GLTRADE	SAP Enterprise Extension Global Trade	Others	606	ISR_GLT_COMMODITY_4	Trade, Commodity Management 4	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W		S		
EA-GLTRADE	SAP Enterprise Extension Global Trade	Others	606	ISR_GLT_COMMODITY_5	Trade, Commodity Management 5	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W		S		
EA-GLTRADE	SAP Enterprise Extension Global Trade	Others	606	ISR_GLT_IFW	Trade, Invoice Forecasting	Enterprise BF / Enhancement Packages	OFF	OFF	Pass - No Impact	S		S		
EA-GLTRADE	SAP Enterprise Extension Global Trade	Others	606	ISR_GLT_VENDOR_FUND	Trade, Fund Settlement	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W		S		
EA-GLTRADE	SAP Enterprise Extension Global Trade	Others	606	ISR_RET_COMMODITY_2	Trade, Commodity Management 2	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W		S		
EA-GLTRADE	SAP Enterprise Extension Global Trade	Others	606	ISR_RET_COMMODITY_3	Trade, Commodity Management 3	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W		S		
