COMPONENT	COMPONENTDESC	COMPTYPE	RELEASE	BFUNCTION	BFUNCDESC	CURRSTAT	STAT1511	BFCONFLICT	MSGTYPE	ADDONSTAT	ADDONCONFLICT	SUCCPRODUCT	SUCCSW
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	FND_IDM_1	FND, Identity Mgmt Integration	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	FND_MOBILEINBOX_WF_1	FND, Workflow & Alert (Mobile)	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	FND_SMB_UIE	SAP BP for UI Enhancement	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	FND_SOA_REUSE_1	SOA Reuse Functions	OFF	ON	Warning	W		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	FND_SOMI_CM	Social Consent Management	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	FND_SOMI_DS	DataSift - Social Data Harvest	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	FND_VISUAL_BUSINESS	Visual Business	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	HCM_ANALYTICS_1	HCM Cross Analytics 1	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	HCM_NWBC_ROLES	HCM, Roles for SAP NWBC	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	MDG_FOUNDATION	MDG, Generic Functions	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	MDG_FOUNDATION_2	MDG, Generic Functions 2	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	PSM_GEN_BUDPER_1	PSM, Budget Period	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	PSM_GEN_BUDPER_2	PSM, Budget Period 2	OFF		Not part of BF list	I		S		
SAP_BW	SAP Business Warehouse	Add-On	740	RS_IQM	IQM Reporting	OFF		Not part of BF list	I		S		
SAP_FIN	SAP_FIN	Application Componen	617	FIN_GL_CHNG_LEAD_VAL	FI-GL (New), Change Valuation	OFF	OFF	Pass - No Impact	S		S		
SAP_FIN	SAP_FIN	Application Componen	617	FIN_GL_DIR_CASHFLOW	Determination Direct Cash Flow	OFF	OFF	Pass - No Impact	S		S		
SAP_FIN	SAP_FIN	Application Componen	617	FIN_LOC_CI_40	FI, LO Topics  RU 7	OFF	ON	Warning	W		S		
SAP_FIN	SAP_FIN	Application Componen	617	FIN_LOC_CI_41	FI, LO Topics  RU 8	OFF	ON	Warning	W		S		
SAP_FIN	SAP_FIN	Application Componen	617	FIN_LOC_CI_42	FI, LO Topics  RU 9	OFF	ON	Warning	W		S		
SAP_FIN	SAP_FIN	Application Componen	617	FIN_LOC_CI_44	FI, LO Topics  RU 10	OFF	ON	Warning	W		S		
SAP_FIN	SAP_FIN	Application Componen	617	FIN_LOC_EPIC_5	FI, E-Payments for China 5	OFF		Not part of BF list	I		S		
SAP_FIN	SAP_FIN	Application Componen	617	FIN_LOC_EPIC_6	FI, E-Payments for China 6	OFF		Not part of BF list	I		S		
SAP_FIN	SAP_FIN	Application Componen	617	FIN_LOC_EPIC_7	FI, E-Payments for China 7	OFF		Not part of BF list	I		S		
SAP_FIN	SAP_FIN	Application Componen	617	FIN_LOC_TR_1	FI, Loc. for TR	OFF		Not part of BF list	I		S		
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	747	CA_FINANCIALS_SOA_SEM	Financials SOA for SEM, EhP6	OFF	OFF	Pass - No Impact	S		S		
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	747	FIN_ACC_GC_ALLOC	Allocation	OFF	OFF	Pass - No Impact	S		S		
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	747	FIN_ACC_GC_ASTHFS	Assets Held for Sale	OFF	OFF	Pass - No Impact	S		S		
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	747	FIN_ACC_GC_BCOMB	Business Combinations	OFF	OFF	Pass - No Impact	S		S		
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	747	FIN_ACC_GC_RESTAT	Restatement Monitor	OFF	OFF	Pass - No Impact	S		S		
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	747	FIN_ACC_GC_TAXRATECHG	FIN, Group Close, Tax Adjustment	OFF	OFF	Pass - No Impact	S		S		
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	747	FIN_ACC_GROUPCLOSE_2	FIN, Group Closing, Compliance	OFF	OFF	Pass - No Impact	S		S		
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	747	FIN_MDM_SOA_CU	MDGF, SOA ChtAccts and FinRptgSt	OFF	OFF	Pass - No Impact	S		S		
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	747	FIN_PDCE_COSTQUOT	Cost and Quotation Management	OFF	OFF	Pass - No Impact	S		S		
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	747	FIN_PDCE_COSTQUOT_CI_1	Cost Estimate and Simulation	OFF	OFF	Pass - No Impact	S		S		
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	747	FIN_PDCE_PI	PDCE, Improved Performance	OFF	OFF	Pass - No Impact	S		S		
ST-PI	SAP Solution Tools Plug-In	Netweaver Plug-In	740	/SDF/E2E_TRACE	E2E Trace	OFF		Not part of BF list	I		S		
WEBCUIF	SAP Web UI Framework	Application Platform	747	UI_FRW_1	UI Framework	OFF		Not part of BF list	I		S		
WEBCUIF	SAP Web UI Framework	Application Platform	747	UI_FRW_1_DOCU	UI Framework Documentation	OFF		Not part of BF list	I		S		
WEBCUIF	SAP Web UI Framework	Application Platform	747	UI_FRW_2	UI Framework	OFF		Not part of BF list	I		S		
WEBCUIF	SAP Web UI Framework	Application Platform	747	UI_FRW_2_DOCU	WebClient UI Framework Docu.	OFF		Not part of BF list	I		S		
