COMPONENT	COMPONENTDESC	COMPTYPE	RELEASE	BFUNCTION	BFUNCDESC	CURRSTAT	STAT1511	BFCONFLICT	MSGTYPE	ADDONSTAT	ADDONCONFLICT	SUCCPRODUCT	SUCCSW
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EAM_WCM_3	Managing WCM Objects/Templates	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EHS_CI_2	EH&S Continuous Improvement	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EHS_CI_4	EHS - Continuous Improv. for PS	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EHS_DG_CI_3	EHS - Continuous Improvements DG	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EHS_GLM_CI_4	EHS - Cont. Improvement GLM	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EHS_PS_CI_3	EHS - Continuous Improvements PS	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_EHS_PS_CI_5	EHS - Continuous Improvements PS	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_FI_DPC_MM_1	Subcontractor Mgmt (DwnPayChain)	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_PP_CI_1	Optimizations in Production	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_PP_INTELI_01	POWL	OFF	OFF	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_PP_PI_PMA_01	PI Sheet Archiving	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_PP_PMA_PMC	PI Sheet	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_PP_SRN_02	Shift Report/Shift Note	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_PP_SRN_CONF	Shift Report/Notes, Confirmation	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_PP_XS_01	XStep Repository Enhancements	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_PP_XS_RTG_PO	XSteps for Routing and PO	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_SD_SMI	Supplier Managed Inventory	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_WTYRCL_REPORT_OPT	Warranty Recall report opt.	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	LOG_XPD_EXT_1	PS, Progress Tracking Data in PO	OFF	OFF	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	OIL_UOM_UPST_CI_2	Upstream Ops. Management CI 2	OFF	OFF	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	OIL_UOM_UPST_CI_3	Upstream Ops Management CI3	OFF	OFF	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	OPS_EC_INTEGRATION	Env. Compl. Integration	OFF	OFF	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	OPS_PS_CI_1	Project System Enhancements	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	OPS_PS_HLP_1	PS Handling Large Projects	OFF	OFF	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	OPS_PS_HLP_2	PS, Handling Large Projects 2	OFF	OFF	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	OPS_QM_EXTENSION_2	Enhanc.in FMEA + QM Notificatns	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	OPS_QM_EXTENSION_3	QM Extensions in QC and Notif.	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	OPS_QM_NOTIFICATION	QM: Functions for Qty Notifictns	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	OPS_QM_PLAN_INTEGRAT	QM: Inspection Plan Integration	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	OPS_QM_VP	QM: Visual Planning	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	PLM_PMEVC_1	PLM Var. Config.  Prod. Mod. Env	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	PLM_RM_PRODUCT_LABELING	PLM RM: Labeling	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	PMD_PLM_RECIPE_MANAGEMENT_1	PLM: Recipe Management	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	PRS_ERP_CPILS_1	Comm.Proj.Inception&L.Staffing	OFF	OFF	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	PRS_ERP_CPILS_2	Comm.Proj.Inception&L.Staffing 2	OFF	OFF	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	RE_CRE_MISC	Corporate Real Estate	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	RE_FM_EARMARKED_FUND	RE/FM Earmarked Funds	OFF	OFF	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	RE_GEN_CI_1	Real Estate	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	RE_GEN_CI_2	Real Estate 2	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	RE_GEN_CI_3	Real Estate 3	OFF	ON	Warning	W		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	WTY_DP_1	LO, Warranty for Dealer Portal	OFF		Not part of BF list	I		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Regular Applications	617	WTY_DP_2	Warranty DP, Innovations	OFF		Not part of BF list	I		S		
EA-FIN	EA-FIN	Regular Applications	617	FIN_AA_PARALLEL_VAL	Parallel Valuation in FI-AA	ON		Not part of BF list	I	Yes, retrofitted into S/4HANA product version	S		
EA-FIN	EA-FIN	Regular Applications	617	FIN_LOC_CI_20	RE-FX, Loc. for IT	OFF		Not part of BF list	I	Yes, retrofitted into S/4HANA product version	S		
EA-FIN	EA-FIN	Regular Applications	617	RE_MOBILE_BROKER_1	Real Estate Broker Mobile App	OFF		Not part of BF list	I	Yes, retrofitted into S/4HANA product version	S		
EA-FINSERV	SAP Enterprise Extension Financial Services	Regular Applications	600	/IBS/EAFS_RBD_INT_ECF	SAP RBD: ECF Procedure	OFF		Not part of BF list	I		S		
EA-HRCTW	Sub component EA-HRCTW of EA-HR	Regular Applications	600	HCM_LOC_CI_37	HCM, Cross-Year Tax for Taiwan	OFF		Not part of BF list	I		S		
FINBASIS	Financial Basis	Regular Applications	747	FIN_FSCM_CCD_2	FSCM Functions 2	ON	ON	Pass - No Impact	S				
FINBASIS	Financial Basis	Regular Applications	747	FIN_FSCM_CCD_3	FSCM Functions 3	ON	ON	Pass - No Impact	S				
FINBASIS	Financial Basis	Regular Applications	747	FIN_FSCM_SSC_AIC_1	FSCM, Enablement for FSS	OFF		Not part of BF list	I				
FINBASIS	Financial Basis	Regular Applications	747	FIN_MDM_ORG	MDG, Financials, Org. Units	OFF		Not part of BF list	I				
FINBASIS	Financial Basis	Regular Applications	747	FIN_SSC_ISS_1	ISS, Enablement for FSS	OFF		Not part of BF list	I				
IS-OIL	IS-OIL	Industry Solutions	600	COMMODITY_MGMT_&_BULK_LOGISTIC	Commodity Mgmt & Bulk Logistics	OFF	OFF	Pass - No Impact	S		S		
MDG_APPL	MDG Applications	Application Componen	617	ERP_MATERIAL_SOA	MDG Material Servcies BuFu	OFF		Not part of BF list	I		S		
MDG_APPL	MDG Applications	Application Componen	617	MDG_ERP_CUSTOMER_1	MDG for Customer	OFF		Not part of BF list	I		S		
