PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	REFOBJTYP
R3TR	OTH	Others	METH	Method (ABAP Objects)	LOAD_OBJLST				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM025	
R3TR	OTH	Others	METH	Method (ABAP Objects)	LOAD_DYNPRO_PROC_DEFS				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM016	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IS_TOKEN				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM01N	
R3TR	OTH	Others	METH	Method (ABAP Objects)	SET_PROC_INFO				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM01O	
R3TR	OTH	Others	METH	Method (ABAP Objects)	ADD_INFO				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM001	
R3TR	OTH	Others	METH	Method (ABAP Objects)	DELETE_VAR				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM00L	
R3TR	OTH	Others	METH	Method (ABAP Objects)	SET_ENDFORM_PARAMS				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM01C	
R3TR	OTH	Others	METH	Method (ABAP Objects)	ANALYZE_SCREEN				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM00C	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_SYMB_INFO				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM01W	
R3TR	OTH	Others	METH	Method (ABAP Objects)	ANALYZE_PROCEDURE				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM00B	
R3TR	OTH	Others	METH	Method (ABAP Objects)	ANALYZE_PROC				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM00A	
R3TR	OTH	Others	METH	Method (ABAP Objects)	PUSH_STACK				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM01A	
R3TR	OTH	Others	METH	Method (ABAP Objects)	FIND_CLAUSE				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM00N	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_INTF_METHOD_DEFINITION				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM00U	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_SOURCE_NAME				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM012	
R3TR	OTH	Others	METH	Method (ABAP Objects)	COMPARE_STACKS				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM01Y	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM01F	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_CALL_CHECKSUM				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM00Q	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_CLAUSE_VAR				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM00S	
R3TR	OTH	Others	METH	Method (ABAP Objects)	INFORM				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMPILER	ZCL_CI_TEST_ABAP_COMPILER=====CM008	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_RESULT_NODE				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMPILER	ZCL_CI_TEST_ABAP_COMPILER=====CM007	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_CODE				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMPILER	ZCL_CI_TEST_ABAP_COMPILER=====CM004	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_LONG_TEXT				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMPILER	ZCL_CI_TEST_ABAP_COMPILER=====CM006	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_RESULT_NODE				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM01H	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_REF_CHECK				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM011	
R3TR	OTH	Others	METH	Method (ABAP Objects)	APPEND_VAR				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM00E	
R3TR	OTH	Others	METH	Method (ABAP Objects)	DETERMINE_OBJLST				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM024	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IS_DECLARATION				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMP_PROCS	ZCL_ABAP_COMP_PROCS===========CM005	
R3TR	OTH	Others	METH	Method (ABAP Objects)	CLONE_METHOD_SYMBOL				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM006	
R3TR	OTH	Others	METH	Method (ABAP Objects)	CLEAR_CACHE				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM005	
R3TR	OTH	Others	METH	Method (ABAP Objects)	CHECK_INCLUDE_NAME				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM004	
R3TR	OTH	Others	METH	Method (ABAP Objects)	CHECK_FEATURE				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM003	
R3TR	OTH	Others	METH	Method (ABAP Objects)	CHECK_EXTERN				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM002	
R3TR	OTH	Others	METH	Method (ABAP Objects)	ACTIVATE_INCLUDE				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM001	
