COMPONENT	COMPONENTDESC	COMPTYPE	BFUNCTION	BFUNCDESC	BFUNCCATEG	BFCONFLICT
SAP_APPL	Logistics and Accounting	Others	LOG_TM_ORD_INT	ERP-TMS: Order Integration	Enterprise BF / Enhancement Packages	Warning
SAP_APPL	Logistics and Accounting	Others	LOG_TM_ORD_INT_I	ERP-TMS: Ord. and Inv. Integ. 1	Enterprise BF / Enhancement Packages	Not part of BF list
SAP_APPL	Logistics and Accounting	Others	LOG_TM_ORD_INT_II	ERP-TMS: Ord and Inv Integration	Enterprise BF / Enhancement Packages	Warning
SAP_APPL	Logistics and Accounting	Others	LOG_TM_ORD_INT_TRQ	ERP-TMS: Basic Order Integration	Enterprise BF / Enhancement Packages	Not part of BF list
SAP_APPL	Logistics and Accounting	Others	LOG_WM_ROLES_2	LOG_WM_ROLES_2	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_APPL	Logistics and Accounting	Others	MDG_CUST_ERPCLIENT_1	MDG Customer ERP Client	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_APPL	Logistics and Accounting	Others	MDG_MATERIAL	MDG for Material	Enterprise BF / Enhancement Packages	
SAP_APPL	Logistics and Accounting	Others	OIL_OPM_UPST	Op. Perf. Management Upstream	Industries Business Functions	Pass - No Impact
SAP_APPL	Logistics and Accounting	Others	OIL_OPM_UPSTGIS	Integration of GIS	Industries Business Functions	Pass - No Impact
SAP_APPL	Logistics and Accounting	Others	OIL_OPM_UPST_CI_1	Op. Perf. Management Upstream 1	Industries Business Functions	Pass - No Impact
SAP_APPL	Logistics and Accounting	Others	OPS_ADVRETURNS_1	Advanced Returns Management	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_APPL	Logistics and Accounting	Others	OPS_ADVRETURNS_2	Advanced Returns Management 2	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_APPL	Logistics and Accounting	Others	OPS_PS_CI_2	"PS, Performance Improvements"	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_APPL	Logistics and Accounting	Others	OPS_SME_SIMP_01	SME Simplification 1	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_APPL	Logistics and Accounting	Others	PLM_CFO_IMPEXPMPN	cFolders Import Export of MPNs	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_APPL	Logistics and Accounting	Others	PLM_CFO_ORDWBSBOM	Export Order/WBS-BOM to cFolders	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_APPL	Logistics and Accounting	Others	PLM_EDM_DISPLAYCHANGESWITHACL	Display Changes to ACL	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_APPL	Logistics and Accounting	Others	PRS_GEN_UI	"Prof. Services, UI Enhancements"	Enterprise BF / Enhancement Packages	Warning
SAP_APPL	Logistics and Accounting	Others	PS_GOVPROC_ITEMTYPES	"PS, Item Hierarchies"	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_APPL	Logistics and Accounting	Others	PS_GOVPROC_SCCMT	"PS, Shopping Cart Commitment"	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_APPL	Logistics and Accounting	Others	RE_CO_INTEGRATION	Real Estate: CO Integration	Enterprise BF / Enhancement Packages	Warning
SAP_APPL	Logistics and Accounting	Others	SCM_GEN_02	Integration of SCM and ERP 2	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_APPL	Logistics and Accounting	Others	SD_01	Logistics S&D Simplification	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_APPL	Logistics and Accounting	Others	SPE_CI_1	SPM: Innovations in ERP	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_BASIS	SAP Basis Component	Others	BC_SRV_STW_01	SAP StreamWork ABAP Integration	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_BASIS	SAP Basis Component	Others	BC_SRV_STW_02	Social Media ABAP Integration	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_BASIS	SAP Basis Component	Others	BC_SRV_STW_03	Social Media ABAP Integration	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_BASIS	SAP Basis Component	Others	DA_ARCHOBJ_STANDARD_1	Standardization - Arch. Objects	Enterprise BF / Enhancement Packages	Warning
SAP_BASIS	SAP Basis Component	Others	ERP_CA_INT_ADD_VERSN	International Address Versioning	Enterprise BF / Enhancement Packages	Warning
SAP_BASIS	SAP Basis Component	Others	ESH_EPM_BF	Test: NW Enterprise Search Auth.	Enterprise BF / Enhancement Packages	Not part of BF list
SAP_BASIS	SAP Basis Component	Others	ILM	INFORMATION LIFECYCLE MANAGEMENT	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_BS_FND	SAP Business Suite Foundation	Others	/BCV/EASY_QUERY	BCV Easy Query	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_BS_FND	SAP Business Suite Foundation	Others	/BCV/MAIN	"FND, Business Context Viewer"	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_BS_FND	SAP Business Suite Foundation	Others	/BCV/MAIN_1	"FND, BCV Main Application 2"	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_BS_FND	SAP Business Suite Foundation	Others	/BCV/NWBC_SIDEPANEL	BCV Side Panel for NWBC	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_BS_FND	SAP Business Suite Foundation	Others	/IPRO/FND_DOCB_FILLINS	Fill-In Enhancement	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_BS_FND	SAP Business Suite Foundation	Others	/IPRO/FND_DOCB_WORD2007	Word 2007 Support	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_BS_FND	SAP Business Suite Foundation	Others	/IPRO/FND_DOCUMENT_BUILDER	SAP Document Builder	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_BS_FND	SAP Business Suite Foundation	Others	CA_BP_SOA	Services for Business Partner	Enterprise BF / Enhancement Packages	Warning
SAP_BS_FND	SAP Business Suite Foundation	Others	CA_SUPPLIER_SOA	Services for Supplier	Enterprise BF / Enhancement Packages	Warning
SAP_BS_FND	SAP Business Suite Foundation	Others	ERP_ALL_LISTS	"ERP, New UI for ABAP Lists"	Enterprise BF / Enhancement Packages	
SAP_BS_FND	SAP Business Suite Foundation	Others	ERP_ALL_LISTS_2	"ERP, New UI for ABAP Lists"	Enterprise BF / Enhancement Packages	
SAP_BS_FND	SAP Business Suite Foundation	Others	ERP_ALL_PDF_FORMS	"ERP, PDF-based forms"	Enterprise BF / Enhancement Packages	
SAP_BS_FND	SAP Business Suite Foundation	Others	ERP_CA_SIDEPANEL	Side Panel for Business Suite	Enterprise BF / Enhancement Packages	Warning
SAP_BS_FND	SAP Business Suite Foundation	Others	ERP_NWBC_ROLES	"ERP, Roles for SAP NWBC"	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_BS_FND	SAP Business Suite Foundation	Others	FICA_FSCM_CRM_DISPUTE	FICA Dispute  / CRM Complaint	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_BS_FND	SAP Business Suite Foundation	Others	FIN_MDM_ACC	"FIN, Master Data Management"	Enterprise BF / Enhancement Packages	
SAP_BS_FND	SAP Business Suite Foundation	Others	FND_ANALYTICS_TOOLS	Enh. f. Business Suite Analytics	Enterprise BF / Enhancement Packages	Warning
SAP_BS_FND	SAP Business Suite Foundation	Others	FND_ANALYTICS_TOOLS_2	Enh. Business Suite Analytics 2	Enterprise BF / Enhancement Packages	Warning
SAP_BS_FND	SAP Business Suite Foundation	Others	FND_EPT_PROC_ORCH_1	Process Orchestration v1	Enterprise BF / Enhancement Packages	Warning
SAP_BS_FND	SAP Business Suite Foundation	Others	FND_HRICP_1	Framework to Track IT Changes	Enterprise BF / Enhancement Packages	
SAP_BS_FND	SAP Business Suite Foundation	Others	FND_IBO_MULTIBE_1	"FND, Multi Back-End for Inbox"	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_BS_FND	SAP Business Suite Foundation	Others	FND_IDM_1	"FND, Identity Mgmt Integration"	Enterprise BF / Enhancement Packages	
SAP_BS_FND	SAP Business Suite Foundation	Others	FND_MOBILEINBOX_WF_1	"FND, Workflow & Alert (Mobile)"	Enterprise BF / Enhancement Packages	
SAP_BS_FND	SAP Business Suite Foundation	Others	FND_SMB_UIE	SAP BP for UI Enhancement	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_BS_FND	SAP Business Suite Foundation	Others	FND_SOA_REUSE_1	SOA Reuse Functions	Enterprise BF / Enhancement Packages	Warning
SAP_BS_FND	SAP Business Suite Foundation	Others	FND_VISUAL_BUSINESS	Visual Business	Enterprise BF / Enhancement Packages	
SAP_BS_FND	SAP Business Suite Foundation	Others	HCM_ANALYTICS_1	HCM Cross Analytics 1	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_BS_FND	SAP Business Suite Foundation	Others	HCM_NWBC_ROLES	"HCM, Roles for SAP NWBC"	Enterprise BF / Enhancement Packages	
SAP_BS_FND	SAP Business Suite Foundation	Others	MDG_FOUNDATION	"MDG, Generic Functions"	Enterprise BF / Enhancement Packages	
SAP_BS_FND	SAP Business Suite Foundation	Others	PSM_GEN_BUDPER_1	"PSM, Budget Period"	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_BS_FND	SAP Business Suite Foundation	Others	PSM_GEN_BUDPER_2	"PSM, Budget Period 2"	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_BW	SAP Business Warehouse	Add-On	RS_IQM	IQM Reporting	Enterprise BF / Enhancement Packages	Pass - No Impact
SAP_HR	Human Resources	Others	HCM_CE_PA_PA	"HCM, Personnel Actions for CE"	Enterprise BF / Enhancement Packages	
SAP_HRRXX	Sub component SAP_HRRXX of SAP_HR	Others	HCM_LOC_CI_50	HCM Declustering Tools Part 1	Enterprise BF / Enhancement Packages	
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	CA_FINANCIALS_SOA_SEM	"Financials SOA for SEM, EhP6"	Enterprise BF / Enhancement Packages	Pass - No Impact
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	FIN_ACC_GC_ASTHFS	Assets Held for Sale	Enterprise BF / Enhancement Packages	Pass - No Impact
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	FIN_ACC_GC_BCOMB	Business Combinations	Enterprise BF / Enhancement Packages	Pass - No Impact
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	FIN_ACC_GC_RESTAT	Restatement Monitor	Enterprise BF / Enhancement Packages	Pass - No Impact
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	FIN_ACC_GC_TAXRATECHG	"FIN, Group Close, Tax Adjustment"	Enterprise BF / Enhancement Packages	Pass - No Impact
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	FIN_ACC_GROUPCLOSE_2	"FIN, Group Closing, Compliance"	Enterprise BF / Enhancement Packages	Pass - No Impact
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	FIN_MDM_SOA_CU	"MDGF, SOA ChtAccts and FinRptgSt"	Enterprise BF / Enhancement Packages	Pass - No Impact
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	FIN_PDCE_COSTQUOT	Cost and Quotation Management	Enterprise BF / Enhancement Packages	Pass - No Impact
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	FIN_PDCE_COSTQUOT_CI_1	Cost Estimate and Simulation	Enterprise BF / Enhancement Packages	Pass - No Impact
SEM-BW	SEM-BW: Strategic Enterprise Management	Industry Solutions	FIN_PDCE_PI	"PDCE, Improved Performance"	Enterprise BF / Enhancement Packages	Pass - No Impact
WEBCUIF	SAP Web UI Framework	Others	UI_FRW_1	UI Framework	Enterprise BF / Enhancement Packages	Pass - No Impact
WEBCUIF	SAP Web UI Framework	Others	UI_FRW_1_DOCU	UI Framework Documentation	Enterprise BF / Enhancement Packages	
WEBCUIF	SAP Web UI Framework	Others	UI_FRW_2_DOCU	WebClient UI Framework Docu.	Enterprise BF / Enhancement Packages	
